連番1	連番2	連番3	所要区分	親指図番号	割当(WBS)	受注伝票	入出庫番号	入庫保管場所	親品目コード	親品目テキスト	原価センタテキスト	出荷伝票	出庫数量	親MRP管理者	親指図計画開始日	親指図計画終了日	BOM明細番号	子指図番号	子品目コード	子品目テキスト	所要日	所要残数	在庫数	在庫引当	所要引当残数	子MRP管理者	購買発注番号	子指図計画開始日	子指図計画終了日	計画数量	計画引当	計画引当残数	作業区４	作業区５	払出完了	進捗	工程(子)	C	A	C,A以外	作業0020時間(分)	作業0030時間(分)	作業0040時間(分)	作業0050時間(分)	作業0060時間(分)	検査	標準原価	指図テキスト
0000000255	0000000001		製造指図出庫	10133900			8189218-0004	1210	U00A0192800	MK-691 MK-7171ｵｷｶｴｾｯﾄ			1.000	C51	2025/10/29	2025/11/14	0040		P00A0718400	MK-7184 TB-CN CHG2	2025/10/29	1.000	9.000	1.000	0.000																						3,206.000000	
0000000256	0000000002		出荷			6366057-0010						80922236-0010	1.000						P00A0718400	MK-7184 TB-CN CHG2	2025/11/11	1.000	9.000	1.000	0.000																						3,206.000000	
0000000257	0000000003		出荷			6366576-0010						80924134-0010	1.000						P00A0718400	MK-7184 TB-CN CHG2	2025/11/11	1.000	9.000	1.000	0.000																						3,206.000000	
0000000258	0000000001		製造指図出庫	50120592			8154069-0024	1120	P0A467500	MK-4675 LD OPEN DET.PCB			12.000	PC1	2025/09/19	2025/10/09	0330		P00A0718600	CK-7186A	2025/09/19	12.000	14.000	12.000	0.000																						4,004.000000	
0000000259	0000000001	0000000001	製造指図出庫	40162037	I-0338415-10	338415-0010	8057988-0057		A00A2104100	FC-20K-20T-03 Ver3.2			1.000	C25	2025/10/21	2025/11/21	0560	50120642	P00A0719314	IK-7193E S14 LCD制御PCB	2025/10/21	1.000	0.000	0.000	1.000	PC1		2025/09/25	2025/10/16	1.000	1.000	0.000	A0801	A0802	○	○○○○○○○○		222	19	20	0.000	24.000	23.000	11.000	13.000	EP	30,007.000000	
0000000260	0000000001		製造指図出庫	10133259			8149770-0011	1210	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ			30.000	BL0	2025/09/25	2025/10/15	0040		P00A0719317	IK-7193E S17 LCD制御PCB	2025/09/25	30.000	30.000	30.000	0.000																						32,643.000000	
0000000261	0000000002	0000000001	製造指図出庫	10133275			8153687-0011	1210	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ			10.000	BL0	2025/10/23	2025/11/10	0040	50120662	P00A0719317	IK-7193E S17 LCD制御PCB	2025/10/23	10.000	30.000	0.000	10.000	PC1		2025/09/25	2025/10/16	10.000	10.000	0.000	A0801	A0802	○	○○○○○○○－		2,280	190	140	0.000	24.000	23.000	11.000	13.000	EP	32,643.000000	
0000000262	0000000003		製造指図出庫	10133521			8169950-0011	1210	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ			10.000	BL0	2025/11/07	2025/11/26	0040		P00A0719317	IK-7193E S17 LCD制御PCB	2025/11/07	10.000	30.000	0.000	10.000																						32,643.000000	
0000000263	0000000004		製造指図出庫	10133556			8173113-0011	1210	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ			10.000	BL0	2026/01/09	2026/01/23	0040		P00A0719317	IK-7193E S17 LCD制御PCB	2026/01/09	10.000	30.000	0.000	10.000																						32,643.000000	
0000000264	0000000005		製造指図出庫	10133983			8193685-0011	1210	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ			10.000	B58	2026/01/28	2026/02/13	0040		P00A0719317	IK-7193E S17 LCD制御PCB	2026/01/28	10.000	30.000	0.000	10.000																						32,643.000000	
